All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Transaction Types,Transaction Status,"Total Transaction Value (CADmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Geographic Locations [Target/Issuer],Business Description [Target/Issuer],Exchange Country [Primary Listing] [Target/Issuer],Exchange Country [Secondary Listings] [Target/Issuer]
11/26/2019,DIAGNOS Inc. (TSXV:ADK),TSXV:ADK,Private Placement,Announced, 0.4 ,-,-,IQTR645639965,Health Care (Primary),Canada (Primary),"DIAGNOS Inc. provides software-based interpretation services in Canada, the United States, Kenya, the United Arab Emirates, Saudi Arabia, Mexico, and internationally. It offers image analysis services through Computer Assisted Retinal Analysis, a software tool that assists health specialists in the detection of diabetic retinopathy. The company was founded in 1998 and is headquartered in Brossard, Canada.","TSXV:ADK
Company: DIAGNOS Inc.
(IQT2605851) - Canada",-
11/21/2019,Biomark Diagnostics Inc (DB:20B),DB:20B,Private Placement,Announced, 0.5 ,-,-,IQTR645116375,Health Care (Primary),Canada (Primary),"Biomark Diagnostics Inc., an oncology focused company, develops cancer diagnostic solutions that allow for cancer detection, monitoring, and assessing treatment. The company has a research collaboration with the University of Maryland School of Medicine related to the discovery and validation of biomarkers using a combinatorial technology approach. The company was incorporated in 2014 and is headquartered in Richmond, Canada. Biomark Diagnostics Inc. is a subsidiary of Biomark Technologies Inc.",-,"CNSX:BUX
Company: Biomark Diagnostics Inc
(IQT275753722) - Canada"
11/15/2019,Intellipharmaceutics International Inc. (TSX:IPCI),TSX:IPCI,Private Placement,Closed, 0.331 ,-,-,IQTR644720256,Health Care (Primary),Canada (Primary),"Intellipharmaceutics International Inc., a pharmaceutical company, researches, develops, and manufactures novel and generic controlled-release and targeted-release oral solid dosage drugs in the United States. It develops various drug delivery systems, product candidates, and a pipeline of products based on its patented Hypermatrix technology in therapeutic areas, including neurology, cardiovascular, gastrointestinal tract, diabetes, and pain. The company offers Oxycodone ER, an abuse deterrent oxycodone hydrochloride extended release tablet; Regabatin and Lyrica, a pregabalin extended-release capsule for the management of neuropathic pain; Effexor XR, a venlafaxine hydrochloride extended-release capsule to treat depression; Protonix, a pantoprazole sodium delayed-release capsule to treat gastroesophageal reflux disease; and Glucophage XR, a metformin hydrochloride extended-release tablet that treats type 2 diabetes. It also provides Seroquel XR, a quetiapine fumarate extended-release tablet for the treatment of schizophrenia, bipolar disorder, and major depressive disorders; Lamictal XR, a lamotrigine extended release tablet to treat epilepsy; Keppra XR, a levetiracetam extended-release tablet for the treatment of partial onset seizures in patients with epilepsy. In addition, the company offers Pristiq, a desvenlafaxine extended-release tablet to treat depression; Oleptro, a trazodone hydrochloride extended-release tablet to treat depression; Coreg CR, a carvedilol phosphate extended-release capsule for heart failure and hypertension; OxyContin, an oxycodone hydrochloride controlled-release capsule for pain; Ranexa, a ranolazine extended release tablet for chronic angina; and Focalin XR, a dexmethylphenidate hydrochloride extended-release capsule for hyperactivity disorder. It has a license and commercialization agreement with Par Pharmaceutical Inc. The company was founded in 1998 and is headquartered in Toronto, Canada.","TSX:IPCI
Company: Intellipharmaceutics International Inc.
(IQT79343703) - Canada",-
11/14/2019,Cotinga Pharmaceuticals Inc. (TSXV:COT),TSXV:COT,Private Placement,Announced, 0.2 ,-,-,IQTR644243205,Health Care (Primary),Canada (Primary),"Cotinga Pharmaceuticals Inc., a clinical-stage biopharmaceutical company, develops therapies for the treatment of cancer and other unmet medical needs. The company’s lead compound is COTI-2, an oral small molecule targeting p53 a tumor suppressor gene. It also develops COTI-219, an oral small molecule compound targeting the mutant forms of KRAS without inhibiting normal KRAS functions. Cotinga Pharmaceuticals Inc. has a research collaboration with St. Vincent’s University Hospital to evaluate COTI-2 in combination with eribulin in patients with triple negative metastatic breast cancer. The company was formerly known as Critical Outcome Technologies Inc. and changed its name to Cotinga Pharmaceuticals Inc. in January 2018. Cotinga Pharmaceuticals Inc. is based in Toronto, Canada.","TSXV:COT
Company: Cotinga Pharmaceuticals Inc.
(IQT29927531) - Canada",-
11/13/2019,"ProMIS Neurosciences, Inc. (TSX:PMN)",TSX:PMN,Private Placement,Announced, 6.5 ,-,-,IQTR644092947,Health Care (Primary),Canada (Primary),"ProMIS Neurosciences, Inc., a development stage biotech company, discovers and develops precision medicine therapeutics for the treatment of neurodegenerative diseases, primarily Alzheimer’s disease (AD), amyotrophic lateral sclerosis (ALS), and Parkinson’s disease (PD). Its proprietary target discovery engine is based on the use of two complementary techniques. The company applies its thermodynamic, computational discovery platform—ProMIS and Collective Coordinates to predict novel targets known as disease specific epitopes on the molecular surface of misfolded proteins. Its lead product candidates include PMN310, a monoclonal antibody (mAb); PMN350, a mAb targeting on toxic amyloid beta oligomers (AßO); and PMN330, a monoclonal antibody targeting toxic prionlike forms of AßO for AD. The company is also developing therapeutics targeting the neurotoxic form of the tau protein in AD; and superoxide dismutase 1 and TAR-DNA binding protein 43 in ALS, as well as alpha synuclein in PD and Lewy body dementia. The company was formerly known as Amorfix Life Sciences Ltd. and changed its name to ProMIS Neurosciences, Inc. in July 2015. ProMIS Neurosciences, Inc. was incorporated in 2004 and is headquartered in Toronto, Canada.","TSX:PMN
Company: ProMIS Neurosciences, Inc.
(IQT24191293) - Canada",-
11/06/2019,Valeo Pharma Inc. (CNSX:VPH),CNSX:VPH,Private Placement,Announced, 4.0 ,-,-,IQTR643168074,Health Care (Primary),Canada (Primary),"Valeo Pharma Inc. acquires and markets specialty products, and markets and distributes third-party pharmaceutical products. Its product portfolio includes Synacthen, a neurology therapeutic for the treatment of severe multiple sclerosis and gout; M-Eslon, an extended release morphine sulphate used for pain management; and M-Ediat, an immediate release morphine sulphate used for pain management. The company also offers Utrogestan, a micronized progesterone indicated for luteal phase support during in vitro fertilization cycles; and Onstryv, a safinamide tablet used to treat idiopathic Parkinson’s disease. In addition, it develops Ethacrynate Sodium, a loop diuretic used to treat high blood pressure, as well as the swelling caused by diseases, such as congestive heart failure, liver failure, and kidney failure. The company was founded in 2003 and is headquartered in Kirkland, Canada.","CNSX:VPH
Company: Valeo Pharma Inc.
(IQT602790307) - Canada",-
11/05/2019,Zymeworks Inc. (NYSE:ZYME),NYSE:ZYME,Public Offering,Announced, 98.78 ,-,-,IQTR643082436,Health Care (Primary),Canada (Primary),"Zymeworks Inc., a clinical-stage biopharmaceutical company, engages in the discovery, development, and commercialization of bio-therapeutics for the treatment of cancer in Canada. The company’s lead product candidates include ZW25, a bispecific antibody that is in Phase I clinical trial for the treatment of breast and gastric cancer; and ZW49, a bispecific antibody-drug conjugate that is in preclinical stage for treating breast and gastric cancers, and solid tumors. The company has strategic partnership with Merck Sharp & Dohme Research Ltd.; Eli Lilly and Company; Celgene Corporation and Celgene Alpine Investment Co. LLC; GlaxoSmithKline Intellectual Property Development Limited; Daiichi Sankyo Co., Ltd.; and Janssen Biotech, Inc., as well as a collaboration agreement with BeiGene, Ltd. It also has licensing and research collaboration with LEO Pharma A/S to discover and develop bispecific antibodies targeting cytokine-receptor pathways. Zymeworks Inc. was founded in 2003 and is headquartered in Vancouver, Canada.",-,"TSX:ZYME
Company: Zymeworks Inc.
(IQT428079716) - Canada"
11/04/2019,Must Capital Inc. (TSXV:MUST.H),TSXV:MUST.H,Private Placement,Closed, 0.05 ,-,-,IQTR642949832,Health Care (Primary),Canada (Primary),"Must Capital Inc. does not have significant operations. Previously, the company was developed 3D medical imaging software platform for legal, insurance, and medical professions. The company was formerly known as Intrinsic4D Inc. and changed its name to Must Capital Inc. in January 2019. The company was incorporated in 2010 and is based in Toronto, Canada.","TSXV:MUST.H
Company: Must Capital Inc.
(IQT244323131) - Canada",-
11/01/2019,Aquarius Surgical Technologies Inc. (CNSX:ASTI),CNSX:ASTI,Private Placement,Announced, 3.0 ,-,-,IQTR642488089,Health Care (Primary),Canada (Primary),"Aquarius Surgical Technologies Inc., through its subsidiary, Surgical Lasers Inc., engages in the development, sale, distribution, marketing, and exploitation of laser-driven technologies in for use in surgical environments, principally in the field of urology in North America. It provides multi-diode laser systems and related fibre-optic delivery devices for minimally invasive treatment of benign prostatic hyperplasia. The company also offers solutions comprising clinical education, service, support, and maintenance, as well as consumables. The company was formerly known as Aquarius Coatings Inc. Aquarius Surgical Technologies Inc. was incorporated in 1986 and is based in Toronto, Canada.","CNSX:ASTI
Company: Aquarius Surgical Technologies Inc.
(IQT536082025) - Canada",-
11/01/2019,MedX Health Corp (TSXV:MDX),TSXV:MDX,Private Placement,Announced, 3.0 ,-,-,IQTR643095510,Health Care (Primary),Canada (Primary),"MedX Health Corp., a medical device and software company, develops, manufactures, and markets skin related screening tools and phototherapy devices for pain relief and tissue repair in North America, Europe, and Asia. The company offers SIAscopy, a medical device technology that is used to scan skin for suspicious moles and lesions; and phototherapeutic medical devices, which use light energy in lower-level laser and LED to provide treatment for pain and tissue damage in the rehabilitation market. Its product portfolio includes SIMSYS, a skin analysis system; MoleMate, a non-invasive screening device that is designed for general practitioners and skin specialists; and SIAMETRICS, a skin visualization and measurement technology that allows cosmetic formulators and active ingredient manufacturers to measure and quantify the concentrations of melanin, haemoglobin, and collagen in living human skin. The company also provides rehab laser console systems, dental laser console systems, oralase portable laser probes, MedX home treatment systems, and rehab portable lasers. In addition, it operates DermSecure telemedicine platform that enables the Web-based operation of SIAscopy scanning technology and allows the company to deploy its technology in networks of third-party locations from which patients’ mole and lesion scans can be connected to specialist physicians for remote assessment. The company was incorporated in 1999 and is headquartered in Mississauga, Canada.","TSXV:MDX
Company: MedX Health Corp
(IQT41570448) - Canada",-
10/30/2019,Lexaria Bioscience Corp. (OTCPK:LXRP),OTCPK:LXRP,Private Placement,Announced, 1.32 ,-,-,IQTR642263874,Health Care (Primary),Canada (Primary),"Lexaria Bioscience Corp. focuses on the development of its proprietary nutrient infusion technologies for the production of superfoods. It operates in two segments, Intellectual Property Licensing and Consumer Products. The company develops and licenses DehydraTECH, a patented lipid nutrient infusion technology that improves taste, rapidity, and delivery of bioactive compounds that include cannabinoids, vitamins, NSAIDs, nicotine, and other molecules. It is also involved in the development, production, and distribution of enhanced functional food and supplement products under the ViPova and Lexaria Energy brands. The company was formerly known as Lexaria Corp. and changed its name to Lexaria Bioscience Corp. in April 2016. Lexaria Bioscience Corp. was founded in 2004 and is based in Kelowna, Canada.",-,"CNSX:LXX
Company: Lexaria Bioscience Corp.
(IQT241590134) - Canada"
10/29/2019,RepliCel Life Sciences Inc. (OTCPK:REPC.F),OTCPK:REPC.F,Private Placement,Closed, 0.177 ,-,-,IQTR642914681,Health Care (Primary),Canada (Primary),"RepliCel Life Sciences Inc., a regenerative medicine company, focuses on developing autologous cell therapies that treat functional cellular deficits. Its treatments use autologous cell therapy, which isolates an individual’s own cells from harvested tissues and growing more in controlled conditions in a laboratory. The company’s product candidates include RCT-01 for the treatment of chronic tendinosis; RCS-01 to treat aging and sun damaged skin; and RCH-01 for the treatment of hair loss. It is also developing RCI-02, a dermal injection device. The company has collaboration agreement with YOFOTO (China) Health Industry Co. Ltd. to develop and commercialize RCS-01; and collaboration and technology transfer agreement with Shiseido Company, Limited for establishing a clinical research program for RCH-01. RepliCel Life Sciences Inc. is headquartered in Vancouver, Canada.",-,"TSXV:RP
Company: RepliCel Life Sciences Inc.
(IQT254079093) - Canada"
10/28/2019,Sienna Senior Living Inc. (TSX:SIA),TSX:SIA,Private Placement,Closed, 150.0 ,-,-,IQTR642006941,Health Care (Primary),Canada (Primary),"Sienna Senior Living Inc., through its subsidiaries, provides senior housing and long-term care (LTC) services in Canada. It operates through LTC and Retirement segments. The company offers a range of seniors’ living options, including independent and assisted living, memory care, long-term care, and specialized programs and services, as well as provides management services. As of December 31, 2018, it owned and operated a total of 70 seniors’ living residences comprising 27 retirement residences, 35 LTC residences, and 8 seniors’ living residences. The company was formerly known as Leisureworld Senior Care Corporation and changed its name to Sienna Senior Living Inc. in May 2015. Sienna Senior Living Inc. was founded in 1972 and is headquartered in Markham, Canada.","TSX:SIA
Company: Sienna Senior Living Inc.
(IQT99930472) - Canada",-
10/22/2019,BriaCell Therapeutics Corp. (TSXV:BCT),TSXV:BCT,Public Offering,Announced, 40.63 ,-,-,IQTR641388853,Health Care (Primary),Canada (Primary),"BriaCell Therapeutics Corp., an immuno-oncology focused biotechnology company, engages in developing approaches for the management of cancer. The company, in collaboration with Incyte Corp., is conducting a Phase I/IIa clinical trial of Bria-IMT, its lead candidate, in a combination study with Incyte drugs, INCMGA00012 and epacadostat, in advanced breast cancer. It also develops Bria-OTS, an off-the-shelf personalized immunotherapy, for advanced breast cancer. The company was incorporated in 2006 and is headquartered in West Vancouver, Canada.","TSXV:BCT
Company: BriaCell Therapeutics Corp.
(IQT29557279) - Canada",-
10/11/2019,Telo Genomics Corp. (TSXV:TELO),TSXV:TELO,Private Placement,Closed, 1.74 ,-,-,IQTR640275696,Health Care (Primary),Canada (Primary),"Telo Genomics Corp., a personalized medicine company, focuses on the development and commercialization of predictive technological products. Its proprietary software platform predicts the course of certain diseases and personalizes the treatment for individual patients. The company’s TeloView software platform measures the stage of the disease, rate of progression of the disease, how different diseases will respond to various therapies, and drug efficacy and toxicity. It is developing five diagnostic and prognostic products for cancers and neurological disorders, including Hodgkin’s lymphoma, prostate cancer, multiple myeloma, lung cancer, and Alzheimer’s diseases. The company was formerly known as 3D Signatures Inc. and changed its name to Telo Genomics Corp. in April 2019. Telo Genomics Corp. is headquartered in Toronto, Canada.","TSXV:TELO
Company: Telo Genomics Corp.
(IQT401930792) - Canada",-
10/09/2019,Rapid Dose Therapeutics Corp. (CNSX:DOSE),CNSX:DOSE,Private Placement,Closed, 0.893 ,-,-,IQTR640058068,Health Care (Primary),Canada (Primary),"Rapid Dose Therapeutics Corp., a life sciences company, provides drug delivery technologies designed to improve patient outcomes in Canada. The company’s over the counter products include QuickStrip, a processed oral film that contains the active molecule embedded in the delivery matrix; QuickStrip energy; vitamin B12; and QuickStrip sleep that delivers melatonin to your system. It also PharmaStrip delivery system. The company serves pharmaceutical and healthcare manufacturing industry. Rapid Dose Therapeutics Corp. is based in Burlington, Canada.","CNSX:DOSE
Company: Rapid Dose Therapeutics Corp.
(IQT595207521) - Canada",-
