Deal ID,Company Name,Deal Date,Deal Type,Deal Type 2,Deal Size,Post Valuation,Deal Synopsis,Deal Status,Financing Status,Business Status,Investors,Primary Industry Code,Verticals,Description,HQ Location,Company Website,PitchBook Link
127036-90T,InVivo AI,25-Nov-2019,Accelerator/Incubator,,,,"The company joined C100 Association as part of the 2019 Cohort on November 25, 2019.",Completed,Accelerator/Incubator Backed,Generating Revenue,C100 Association,Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, Big Data, TMT","Operator of a drug development platform intended to help pharmaceutical companies to navigate their drug development pipelines. The company's platform uses bioinformatics and artificial intelligence to optimize the development of drugs through predictive analytics and work with the small and noisy datasets characteristic of low-throughput compound screens and late-stage lead optimization, enabling pharmaceutical companies to reduce the time, design, and optimize novel ligands against a broad range of precision medicine targets.","Montreal, Canada",www.invivoai.com,View company online
126765-10T,Phoenix Molecular Designs,20-Nov-2019,Seed Round,Seed Round,12.00,,"The company raised $12 million of seed funding from Pallasite Ventures and World Changing Ventures on November 20, 2019. The primary use of funds continues to be on the preclinical and clinical advancement of its lead product candidate, PMD-026, a proprietary first-in-class orally-available RSK (kinase) inhibitor.",Completed,Venture Capital-Backed,Clinical Trials - Phase 1,"Pallasite Ventures(Christopher Bissonnette), World Changing Ventures",Drug Discovery,"Life Sciences, Oncology","Developer of precise cancer therapeutics and companion diagnostics designed to treat oncology indications. The company's cancer therapeutics and companion diagnostics target kinases, a class of highly druggable enzymes to treat a wide range of oncology indications, enabling medical professionals to get chemotherapy, hormone therapy and/or immunotherapy sensitization for a wide range of refractory cancers in the future.","Vancouver, Canada",www.phoenixmd.ca,View company online
126802-81T,EBT Medical,19-Nov-2019,Early Stage VC,Series A,10.00,,"The company raised $10 million of Series A venture funding in a deal led by SV Health Investors and Genesys Capital on November 19, 2019. Other undisclosed investors also participated in this round. The funds will be used for expansion, product development and general administrative purposes.",Completed,Venture Capital-Backed,Generating Revenue,"Genesys Capital(Jamie Stiff), SV Health Investors(Gregory Madden)",Therapeutic Devices,Digital Health,"Developer of neuromodulation technologies intended for overactive bladder and other pelvic health issues. The company's products are clinical-grade, noninvasive neurostimulator and associated ecosystems, enabling patients to significantly reduced risk and side effects.","Toronto, Canada",www.ebtmedical.com,View company online
122788-27T,Exact Imaging,19-Nov-2019,Later Stage VC,,0.24,,"The company raised $244,385 of venture funding from undisclosed investors on November 19, 2019.",Completed,Venture Capital-Backed,Generating Revenue,,Diagnostic Equipment,"Life Sciences, Oncology","Developer of micro-ultrasound systems intended to be used for urological applications. The company's systems provides resolution for visualization and targeting of suspicious regions, in addition to performing systematic TRUS biopsies for prostate cancer imaging, enabling urologists to perform targeted biopsies within a standard urological workflow.","Markham, Canada",www.exactimaging.com,View company online
126519-22T,WinterLight Labs,18-Nov-2019,Early Stage VC,Series A,4.26,,"The company raised CAD 5.6 million of Series A venture funding in a deal led by Hikma Ventures on November 18, 2019. Grey Sky Venture Partners, Harrison Street Real Estate Capital, First Star Ventures and Pacific Health Ventures also participated in the round. The funds will be used to extend its technology to additional indications, such as schizophrenia and multiple sclerosis, as well as additional languages.",Completed,Venture Capital-Backed,Generating Revenue,"First Star Ventures, Grey Sky Venture Partners, Harrison Street Real Estate Capital, Hikma Ventures(Lana Ghanem), Pacific Health Ventures",Other Healthcare Technology Systems,"Artificial Intelligence & Machine Learning, Big Data, TMT","Developer of a language-based diagnostic system designed to detect cognitive diseases. The company's diagnostic system uses machine learning and artificial intelligence technologies to analyze and quantify aspects of speech and language for tracking cognition and disease progression, enabling patients to accurately detect cognitive impairment.","Toronto, Canada",www.winterlightlabs.com,View company online
122858-11T,Precision Nanosystems,13-Nov-2019,Later Stage VC,Series C,6.00,,"The company raised $6 million of Series C venture funding in the combination of preferred stock together with underlying common shares from undisclosed investors on November 13, 2019.",Completed,Venture Capital-Backed,Generating Revenue,,Drug Discovery,"Life Sciences, Nanotechnology, TMT","Developer of proprietary microfluidic devices designed for the simple, rapid, reproducible and cost-effective manufacture of next-generation lipid nanoparticles (LNP). The company's devices help in the development of lipid nanoparticles (LNP) that can be engineered to package and deliver a wide range of bioactive agents to cells and tissues in the body, including conventional or biologic drugs for disease treatment and imaging agents for disease diagnosis, enabling life sciences researchers to build strategic collaborations to revolutionize healthcare through nanotechnology.","Vancouver, Canada",www.precisionnanosystems.com,View company online
126512-92T,KOP Therapeutics,12-Nov-2019,Angel (individual),Angel (individual),0.11,,"The company raised $114,630 of angel funding from undisclosed investors on November 12, 2019. The funds will be used for research and development and general corporate and working capital purposes.",Completed,Angel-Backed,Startup,,Drug Discovery,"Life Sciences, Oncology","Operator of a medical research company intended to uncover groundbreaking technology to fight cancer with minimal side effects. The company is currently working on a technology, termed Antisense Oligonucleotide (""AON"") therapy, that targets the process by which the DNA of specific genes is translated into disease-causing proteins - in effect silencing the cancer-causing genes, providing medical practitioners with a drug that selectively target cancer cells, while avoiding normal cells, thereby minimizing toxicity.","Vancouver, Canada",koptherapeutics.com,View company online
112656-25T,MindBeacon Group,05-Nov-2019,Early Stage VC,Series A,18.00,,"The company raised $18 million of Series A venture funding in a deal led by TELUS Ventures, Manulife Capital and Green Shield on November 5, 2019. Elkland Capital, Strauss Interests and other undisclosed investors also participated in the round. The funds will be used to propel the company's services further towards achieving the company's mission of making evidence-based mental health care more accessible to those who need it in Canada and beyond.",Completed,Venture Capital-Backed,Generating Revenue,"Elkland Capital, Green Shield(Zahid Salman), Manulife Capital, Strauss Interests, TELUS Ventures(Richard Osborn)",Other Healthcare Technology Systems,"HealthTech, LOHAS & Wellness, TMT","Developer of a digital therapy platform designed to overcome mental health concerns. The company's portal provides digitally-delivered cognitive behavioral therapy (CBT) with the support of a dedicated therapist all along the way, providing users with evidence-based personalized care to reduce barriers to treatment of mental health anytime, anywhere and at their own pace.","Toronto, Canada",www.mindbeacon.com,View company online
110949-22T,Fit Minds,30-Oct-2019,Angel (individual),Angel (individual),1.17,,"The company raised $1.17 million of angel funding from undisclosed investors on October 30, 2019.",Completed,Angel-Backed,Generating Revenue,,Educational and Training Services (B2C),,"Provider of cognitive coaching services intended to improve quality of life, cultivate meaningful relationships with family and friends and build cognitive resilience. The company's services include individual, group and maintenance programs for mentally stimulation, enabling elderly people to improve the quality of their lives and create hope and meaningful relationships.","Orleans, Canada",www.fitminds.ca,View company online
125793-01T,Cellular Analytics,30-Oct-2019,Seed Round,Seed Round,,,"The company raised an undisclosed amount of seed funding from Fight Against Cancer Innovation Trust on October 30, 2019. The funds will be used to develop a non-invasive, commercial prototype of the company's lead product.",Completed,Venture Capital-Backed,Startup,Fight Against Cancer Innovation Trust(David ONeill),Diagnostic Equipment,"Life Sciences, Oncology","Developer of new technology for liquid biopsy that reports on the phenotypic properties of tumors and metastatic disease. The company's platform enables molecular characterization of cancer at the level of single circulating tumour cells which quantitatively detects sensitivity to immune-oncology agents 'on-chip' at both significantly lower sample volumes and at a fraction of the cost, enabling patients to be matched with the most effective therapy for improved outcomes.","Toronto, Canada",www.cellular-analytics.com,View company online
126518-77T,KOP Therapeutics,29-Oct-2019,Angel (individual),Angel (individual),0.84,,"The company raised CAD 1.11 million of angel funding from undisclosed investors on October 29, 2019.",Completed,Angel-Backed,Startup,,Drug Discovery,"Life Sciences, Oncology","Operator of a medical research company intended to uncover groundbreaking technology to fight cancer with minimal side effects. The company is currently working on a technology, termed Antisense Oligonucleotide (""AON"") therapy, that targets the process by which the DNA of specific genes is translated into disease-causing proteins - in effect silencing the cancer-causing genes, providing medical practitioners with a drug that selectively target cancer cells, while avoiding normal cells, thereby minimizing toxicity.","Vancouver, Canada",koptherapeutics.com,View company online
125518-33T,BreatheSuite,24-Oct-2019,Seed Round,Seed Round,0.55,,"The company raised $550,000 of seed funding in the form of convertible debt in a deal led by Pelorus Venture Capital on October 24, 2019. BDC Capital and other angel investors also participated in the round. The funds will be used to grow their team, pursue several exciting pilots with big-name clinical partners and start getting as many asthma patients using the their platform as they can.",Completed,Venture Capital-Backed,Startup,"BDC Capital, Pelorus Venture Capital(Chris Moyer)",Therapeutic Devices,,"Developer of an inhaler add-on product intended to allow patients to use it without the need for separate training devices. The company's product connects directly to customer's smartphones via bluetooth, enabling its users to never miss a dose whilst their technique being correct and their symptoms well controlled.","St. John's, Canada",www.breathesuite.com,View company online
126518-50T,KOP Therapeutics,24-Oct-2019,Angel (individual),Angel (individual),0.19,,"The company raised CAD 250,250 of angel funding from undisclosed investors on October 24, 2019.",Completed,Angel-Backed,Startup,,Drug Discovery,"Life Sciences, Oncology","Operator of a medical research company intended to uncover groundbreaking technology to fight cancer with minimal side effects. The company is currently working on a technology, termed Antisense Oligonucleotide (""AON"") therapy, that targets the process by which the DNA of specific genes is translated into disease-causing proteins - in effect silencing the cancer-causing genes, providing medical practitioners with a drug that selectively target cancer cells, while avoiding normal cells, thereby minimizing toxicity.","Vancouver, Canada",koptherapeutics.com,View company online
125202-79T,Metabolomic Technologies,21-Oct-2019,Angel (individual),Series A,4.20,,"The company raised $4.2 million of angel funding from undisclosed investors on October 21, 2019.",Completed,Angel-Backed,Generating Revenue,,Diagnostic Equipment,"Life Sciences, Oncology, TMT","Developer of metabolomics-based diagnostic technology designed to detect cancer and other diseases. The company's PolypDx system is an urine-based test for detecting adenomatous polyps, the precursor to colorectal cancer (CRC), enabling healthcare professionals to access tools for early screening and detection of colorectal cancer.","Edmonton, Canada",www.metabolomictechnologies.ca,View company online
