All Transactions Announced Date,Target/Issuer,Exchange:Ticker,Column1,Transaction Types,Transaction Status,"Total Transaction Value (CADmm, Historical rate)",Buyers/Investors,Sellers,CIQ Transaction ID,Industry Classifications [Target/Issuer],Geographic Locations [Target/Issuer],Business Description [Target/Issuer],Long Business Description [Target/Issuer],Exchange Country/Region [Primary Listing] [Target/Issuer]
03-23-2020,"Abacus Health Products, Inc. (CNSX:ABCS)",CNSX:ABCS,Commercial Therapeutics,Merger/Acquisition,Announced, 88.73 ,"Charlotte's Web Holdings, Inc. (TSX:CWEB)",KR Group Ltd,IQTR660168597,Health Care (Primary),Canada (Primary),"Abacus Health Products, Inc. manufactures and sells over-the-counter (OTC) topical formulations infused with cannabidiol (CBD) extracted from hemps. The company offers CBD CLINIC line of products for relief from acute musculoskeletal and joint pain, which includes analgesic ointments, creams, and pain sticks, as well as analgesic massage oils. It also provides CBDMEDIC line of products, such as sport ointments and pain sticks, back and neck ointments, arthritis hand creams and ointments, and massage therapy oils, as well as ointments and pain sprays for muscles and joints. The company offers its CBD CLINIC products to registered health practitioners, including chiropractors, acupuncturists, massage and physical therapists, naturopaths, and osteopaths; and CBDMEDIC products directly to consumers through retail pharmacy chains and fitness locations, as well as online through the e-commerce platform. In addition, it is involved in developing a pipeline of other OTC CBD products addressing additional medical indications and the health and wellness sectors. The company is headquartered in Toronto, Canada. Abacus Health Products, Inc. is a subsidiary of Aidance Skincare & Topical Solutions, LLC.",-,"CNSX:ABCS
Company: Abacus Health Products, Inc.
(IQT600224541) - Canada"
02-12-2020,Acerus Pharmaceuticals Corporation (TSX:ASP),TSX:ASP,Commercial Therapeutics,Private Placement,Closed, 23.93 ,First Generation Capital Inc.,-,IQTR654543946,Health Care (Primary),Canada (Primary),"Acerus Pharmaceuticals Corporation, a specialty pharmaceutical company, focuses on the development, manufacture, marketing, and distribution of pharmaceutical products for men’s and women’s health. The company offers Natesto, a nasal gel for testosterone replacement therapy in adult males diagnosed with hypogonadism; Estrace, an oral tablet for the symptomatic relief of menopausal symptoms; and UriVarx, a natural health product that helps reduce symptoms of hyperactive bladder, such as daytime urinary frequency, urgency, and nocturia. It also engages in developing Lidbree, a short acting lidocaine formulation delivered through a proprietary device into the vaginal mucosal tissue; Stendra, a PDE5 inhibitor for the treatment of erectile dysfunction; Elegant vaginal moisturizer, which provides comfort to women suffering from vaginal dryness; and Elegant pH, a pH balanced vaginal product; Gynoflor, an ultra-low dose vaginal estrogen combined with a probiotic for the treatment of vaginal atrophy, restoration of vaginal flora, and treatment of certain vaginal infections; and Tefina, a clinical stage product for women with female sexual dysfunction. Acerus Pharmaceuticals Corporation sells products through its salesforce in Canada; and through a network of licensed distributors in the United States and internationally. The company was formerly known as Trimel Pharmaceuticals Corporation and changed its name to Acerus Pharmaceuticals Corporation in September 2015. Acerus Pharmaceuticals Corporation was founded in 2008 and is headquartered in Mississauga, Canada.",-,"TSX:ASP
Company: Acerus Pharmaceuticals Corporation
(IQT137641837) - Canada"
01-17-2020,Algernon Pharmaceuticals Inc. (CNSX:AGN),CNSX:AGN,Therapeutic R&D,Private Placement,Closed, 1.56 ,Novotech (Australia) Pty Limited,-,IQTR651472494,Health Care (Primary),Canada (Primary),"Algernon Pharmaceuticals Inc., a clinical stage pharmaceutical development company, focuses in the areas of non–alcoholic steatohepatitis, liver disease, chronic kidney disease, inflammatory bowel disease, and idiopathic pulmonary fibrosis. Algernon Pharmaceuticals Inc. is headquartered in Vancouver, Canada.",-,"CNSX:AGN
Company: Algernon Pharmaceuticals Inc.
(IQT312772589) - Canada"
02-12-2020,Appili Therapeutics Inc. (TSXV:APLI),TSXV:APLI,Therapeutic R&D,Public Offering,Closed, 10.25 ,-,-,IQTR654541179,Health Care (Primary),Canada (Primary),"Appili Therapeutics Inc., a pharmaceutical company, acquires, develops, and commercializes therapeutics in the area of infectious disease in Canada. The company focuses on building and advancing a portfolio of anti-infective programs. Its anti-infective portfolio includes ATI-1501, a taste-masked oral liquid formulation of an antibiotic, metronidazole; ATI-1503 that develops a class of gram-negative targeting antibiotics; and ATI-1701 is a live-attenuated vaccine for Francisella tularensis. Appili Therapeutics Inc. was founded in 2015 and is headquartered in Halifax, Canada.",-,"TSXV:APLI
Company: Appili Therapeutics Inc.
(IQT607127273) - Canada"
02-03-2020,Aurora Spine Corporation (TSXV:ASG),TSXV:ASG,Medical Devices,Private Placement,Closed, 2.23 ,-,-,IQTR653325511,Health Care (Primary),Canada (Primary),"Aurora Spine Corporation, through its subsidiary, Aurora Spine, Inc., develops and distributes spinal implant products in Canada. The company offers interspinous process lumbar fusion devices for patients suffering from degenerative disc diseases; Ti-Coated polyether ether ketone interbody cages, which provide spacing and stability between the vertebrae and bone grows to complete the fusion process; sterile-packed titanium plasma spray coated spinal infusion implants for bone growth; and 3D Printed Stand Alone ALIF Cage, an integrated plate and spacer system that helps to preserve the natural anatomic profile, and provide spinal column support and stability. The company was incorporated in 2013 and is headquartered in Toronto, Canada.",-,"TSXV:ASG
Company: Aurora Spine Corporation
(IQT245521185) - Canada"
01-24-2020,Avicanna Inc. (TSX:AVCN),TSX:AVCN,Therapeutic R&D,Private Placement,Announced, 13.0 ,-,-,IQTR652526680,Health Care (Primary),Canada (Primary),"Avicanna Inc. focuses on the research and development, cultivation, manufacture, and commercialization of plant-derived cannabinoid-based products and extracts in North America, Latin America, Europe, and Asia. It intends to offer plant-derived cannabinoid pharmaceuticals, phyto-therapeutics, derma-cosmetics, and extracts. The company was founded in 2016 and is headquartered in Toronto, Canada.",-,"TSX:AVCN
Company: Avicanna Inc.
(IQT628278928) - Canada"
01-02-2020,Avivagen Inc. (TSXV:VIV),TSXV:VIV,Vet health,Private Placement,Closed, 3.0 ,-,-,IQTR649837850,Health Care (Primary),Canada (Primary),"Avivagen Inc. develops and commercializes various products to replace antibiotics in livestock feeds to optimize the health and growth of the animals by supporting the animal’s own health defenses. The company offers products based on its OxC-Beta technology, such as OxC-beta Livestock, a premix for livestock feeds; and Vivamune Health Chews supplements for companion animals. It has operations in Mexico and Latin America. The company was formerly known as Chemaphor, Inc. and changed its name to Avivagen Inc.in May 2012. The company was founded in 2005 and is headquartered in Ottawa, Canada.",-,"TSXV:VIV
Company: Avivagen Inc.
(IQT23428260) - Canada"
03-04-2020,Canada House Wellness Group Inc. (CNSX:CHV),CNSX:CHV,Commercial Therapeutics,Private Placement,Announced, 3.0 ,-,-,IQTR657245174,Health Care (Primary),Canada (Primary),"Canada House Wellness Group Inc., through its subsidiaries, provides patient-specific cannabinoid therapy products and services. It offers its products and services through clinics and licensed producers. Canada House Wellness Group Inc. has a strategic partnership with Peak Pharma Solutions Inc. The company is headquartered in Pickering, Canada.",-,"CNSX:CHV
Company: Canada House Wellness Group Inc.
(IQT417812352) - Canada"
02-06-2020,Canntab Therapeutics Limited (CNSX:PILL),CNSX:PILL,Therapeutic R&D,Private Placement,Closed, 3.73 ,-,-,IQTR653826104,Health Care (Primary),Canada (Primary),"Canntab Therapeutics Limited researches and develops advanced pharmaceutical grade formulations of cannabinoids and terpenes in Canada. It offers sustained release, immediate release, modified release, flash melt, and bi-layered tablets for treating sleep disorders, posttraumatic stress disorder, social anxiety, addiction, arthritis, general pain, pain management and appetite loss associated with cancer treatments, and addiction treatment therapy of opioids and other painkillers. Canntab Therapeutics Limited is headquartered in Markham, Canada.",-,"CNSX:PILL
Company: Canntab Therapeutics Limited
(IQT558198016) - Canada"
03-02-2020,CloudMD Software & Services Inc. (CNSX:DOC),CNSX:DOC,e-Health,Private Placement,Closed, 3.02 ,-,-,IQTR656948716,Health Care (Primary),Canada (Primary),"CloudMD Software & Services Inc., a technology company, provides SaaS based health technology solutions to medical clinics in Canada. The company was formerly known as Premier Health Group Inc. and changed its name to CloudMD Software & Services Inc. in February 2020. CloudMD Software & Services Inc. was incorporated in 2013 and is headquartered in Victoria, Canada.",-,"CNSX:DOC
Company: CloudMD Software & Services Inc.
(IQT316965305) - Canada"
