ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
0,0,0,0,0,0,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,0,0,#N/A,#N/A,0,0,#N/A,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,0,#N/A,80000,#N/A,0,-127460,#N/A,0,0,0,#N/A,#N/A,#N/A,652174,0,#N/A,0,0,#N/A,0,#N/A,0,#N/A,0,#N/A,0,0,#N/A,-285000,#N/A,1008828,0,0,0,0,0,0,#N/A,0,-942093,#N/A,-5400,0,0,0,0,2067939,0,0,0,0
0,0,0,0,0,0,,,,,,0,,5000000,-1888616,,,,0,,0,0,0,,,,0,,,0,,560000,,0,0,,0,0,0,,,,0,,,0,,,0,,0,,,,0,0,,,,0,0,0,0,0,0,0,,,0,,,,-2021,0,,0,0,0,0,0
0,0,0,0,0,0,,,,,,0,,0,0,,,,0,,,0,0,,,,0,,,0,,0,,,0,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,,0,,,,0,0,,0,0,0,0,0
0,0,0,0,0,0,,,,,,0,,0,0,,,,0,,,0,0,,,,-1015,,,0,,0,,,0,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,,0,,,,572439,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,0,,0,0,0,,,,0,,,-8772,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,,0,,,,0,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,18870,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,0,0,0,,0,,,,,,,,0,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,0,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,0,0,,-63000,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,-2398,,0,0,0,,,,0,,,2,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,-2884,,,0,,0,,,0,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,-4487,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,0,,0,0,0,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,-599,,,0,,0,,,1588,,11379,0,0,,,,0,,,-243524,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,-6417,,,0,,0,,,0,,0,0,,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,0,,22700,0,,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,3250,,0,0,,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,-6944,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,0,,0,,,8766,,0,0,,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,0,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,0,,,209,,0,0,,,,,0,,,0,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,0,,,0,,0,0,,,,,0,,,1150,,,0,,,,,,0,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,0,,,0,,0,0,,,,,0,,,0,,,0,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,-33400,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,0,,,0,,10094,0,,,,,0,,,351,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,-1080,,,,,0,,,-9547,,0,0,,,,,0,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,0,,,,,0,,,0,,176,0,,,,,0,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,-5045,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,0,,0,0,,,,,-3502,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,0,,0,0,,,,,0,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,0,,0,0,,,,,0,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,4479,,0,0,0,0,0
0,0,,0,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,0,,,0,,,,,0,,,0,,,,,,,,,,,,,,0,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,-2601,,,0,,,,,0,,,250,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,0,0,0,0,0
0,0,,,,0,,,,,,0,,0,0,,,,0,,,,0,,,,,,,,,0,,,0,,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,0,,0,0,0,0,0
