ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
Vanguard Total Stock Market Index Fund,Fidelity Nasdaq Composite Index Fund,American High Income Trust,iShares Tr. - Micro Cap ETF,CIBC Canadian Small Cap Fund,Polar Capital Funds Plc - Healthcare Opportunities Fund,#N/A,#N/A,#N/A,#N/A,#N/A,Fidelity Select Port. - Biotechnology Portfolio,#N/A,Fidelity Canadian Growth Company Fund,Fidelity Advisor Series VII - Biotechnology Fund,#N/A,#N/A,#N/A,Clough Global Opportunities Fund,#N/A,Taylor North American Equity Opportunities Fund,AdvisorShares Trust - Pure Cannabis ETF,Canada Pension Plan,#N/A,#N/A,#N/A,Canada Pension Plan,#N/A,#N/A,Eventide Healthcare & Life Sciences Fund,#N/A,Eventide Healthcare & Life Sciences Fund,#N/A,Purpose Global Innovators Fund,IA Clarington Canadian Small Cap Fund,#N/A,Mawer New Canada Fund,Vanguard Total Stock Market Index Fund,Pender Small Cap Opportunities Fund,#N/A,#N/A,#N/A,Asperior Investment Funds - LF Ruffer Absolute Return Fund,Horizons Medical Marijuana Life Sciences ETF,#N/A,Mackenzie Canadian Growth Fund,#N/A,#N/A,New Zealand Superannuation Fund,#N/A,Goodwood Capital Fund,#N/A,First Asset JFT Strategies Fund,#N/A,Invesco Health Care Fund,Pender Small Cap Opportunities Fund,#N/A,#N/A,#N/A,American Funds Small Cap World Fund,EdgePoint Canadian Portfolio,"Vifag 2002, SICAV",Fidelity True North Fund,Exemplar Growth & Income Fund,Fidelity True North Fund,Purpose Canadian Equity Growth Fund,#N/A,#N/A,Cambridge Pure Canadian Equity Fund,#N/A,#N/A,GFA International Fund,Horizons Medical Marijuana Life Sciences ETF,Caisse de Depot & Placement du Quebec,#N/A,iShares S&P/TSX Small Cap Index ETF,iShares Russell 2000 ETF,Fidelity Small Cap Stock Fund,American Funds Small Cap World Fund,Fidelity Canadian Growth Company Fund
PRIMECAP Odyssey Aggressive Growth Fund,Alma Capital Invt. Fds. - Apis Global Long/Short Equity Fund,American Funds Income Fund of America,Fidelity Nasdaq Composite Index Fund,Canoe Asset Allocation Class,Polar Capital Funds Plc - Biotechnology Fund,,,,,,Stichting Pensioenfonds ABP (Global Equity Portfolio),,Vanguard Total International Stock Index Fund,Polar Capital Funds Plc - Healthcare Opportunities Fund,,,,Fidelity Nasdaq Composite Index Fund,,Voya Multi Manager International Small Cap Fund,I.B.I. MEHAKA (4D) Solactive North American Cann. USD - Hedged,Beutel Goodman Small Cap Fund,,,,Stichting Pensioenfonds ABP (Global Equity Portfolio),,,Catalyst Eventide Gilead Fund,,USAA Small Cap Stock Fund,,Empire Life Emblem Growth Portfolio,EdgePoint Canadian Portfolio,,Highland Fds. I - Long/Short Healthcare Fund,Vanguard Extended Market Index Fund,NCM Entrepreneurs Class,,,,LF Ruffer Investment Funds - Total Return Fund,,,Mackenzie Canadian Growth Balanced Fund,,,"Vifag 2002, SICAV",,Pender Small Cap Opportunities Fund,,,,T Rowe Price New Horizons Fund,Pender Value Fund,,,,Fidelity Nasdaq Composite Index Fund,Edgepoint Canadian Growth & Income Portfolio,,Caisse de Depot & Placement du Quebec,,First Asset JFT Strategies Fund,,,,Fidelity Small Cap Stock Fund,,,,HANetf ICAV - Medical Cannabis & Wellness UCITS ETF,CREF Stock Account,,,Vanguard Extended Market Index Fund,Wasatch Micro Cap Value Fund,Eventide Healthcare & Life Sciences Fund,Fidelity Select Port. - Health Care Portfolio
Government Pension Fund - Global (The),,JPMorgan High Yield Fund,1290 VT Micro Cap Portfolio,Renaissance Canadian Small Cap Fund,Biotech Growth Trust Plc (The),,,,,,iShares NASDAQ Biotechnology ETF,,Fidelity Special Situations Fund,Fidelity Select Port. - Health Care Portfolio,,,,,,,Cannabis Growth Fund,DFA Canadian Small Company Series,,,,DFA International Core Equity Portfolio,,,,,AMG Managers Cadence Emerging Companies Fund,,Empire Life Emblem Moderate Growth Portfolio,Janus Henderson Venture Fund,,BMO Enterprise Fund,Fidelity Extended Market Index Fund,SEI Investments - Canadian Equity Fund,,,,Fidelity True North Fund,,,Mawer New Canada Fund,,,,,,,,,Tekla Healthcare Investors,,,,,,,,Fidelity Canadian Opportunities Fund,,Royce Micro Cap Fund,,,,Grandeur Peak International Opportunities Fund,,,,ws-hc Fonds - Hanf Industrie Aktien Global,iShares S&P/TSX Small Cap Index ETF,,,FCP Medical - BioHealth,MDPIM Canadian Equity Pool,HBM Healthcare Investments,Polar Capital Funds Plc - Healthcare Opportunities Fund
iShares Tr. - Micro Cap ETF,,JPMorgan Investment Funds - Global Income Fund,,Canoe Equity Class,Man Funds VI Plc - Man European Equity Alternative,,,,,,FTIF SICAV - Biotechnology Discovery Fund,,Government Pension Fund - Global (The),Polar Capital Funds Plc - Biotechnology Fund,,,,,,,I.B.I. Mehaka (4D) Solactive North American Cannabis,Royce Micro Cap Trust,,,,DFA Canadian Small Company Series,,,,,iShares Tr. - Micro Cap ETF,,Empire Life Emblem Balanced Portfolio,London Life Mid Cap Canada Fund (GWLIM),,HSBC Small Cap Growth Fund,Schwab Total Stock Market Index Fund,NCM Norrep Fund,,,,Ruffer SICAV - Total Return International,,,Sentry Canadian Income Fund,,,,,,,,,Tekla Life Sciences Investors,,,,,,,,NBI Quebec Growth Fund,,Royce Smaller Companies Growth Fund,,,,Manulife Dividend Income Plus Fund,,,,Global X Cannabis ETF,iShares Tr. - Core MSCI Total International Stock ETF,,,General American Investors Fund,MD Equity Fund,Fidelity Series Small Cap Opportunities Fund,Fidelity Select Port. - Biotechnology Portfolio
Fidelity Comwlth. Tr. - Nasdaq Composite Index Tracking Stock,,Ivy Funds - High Income Fund,,CIBC Global Technology Fund,MFM Techinvest Technology Fund,,,,,,Fidelity Strategic Advisers US Total Stock Fund,,Fidelity Canadian Balanced Fund,Fidelity Advisor Health Care Fund,,,,,,,Rize UCITS ICAV - Medical Cannabis & Life SciencesUCITS ETF,IG Beutel Goodman Canadian Small Cap Fund,,,,British Columbia Inv Management Corp.,,,,,AIG Small Cap Fund,,Empire Life Emblem Aggressive Growth Portfolio,Fidelity True North Fund,,BMO Canadian Small Cap Equity Fund,iShares Tr. - Micro Cap ETF,SEI Investments - Canadian Small Company Equity Fund,,,,Jacob Micro Cap Growth Fund,,,British Columbia Inv Management Corp.,,,,,,,,,Invesco Funds - Global Health Care Fund,,,,,,,,NBI Small Cap Fund,,Royce Capital Fund - Micro Cap Portfolio,,,,Grandeur Peak Global Opportunities Fund,,,,Purpose Marijuana Opportunities Fund,SPDR S&P International Small Cap ETF,,,iShares Russell 2000 Growth ETF,Pacific Select Fund - International Small Cap Portfolio,Biotech Growth Trust Plc (The),Fidelity Special Situations Fund
Vanguard Institutional Total Stock Market Index Fund,,JPMorgan Core Plus Bond Fund,,IA Clarington Focused Canadian Equity Class,Xtrackers - MSCI EM Asia Swap UCITS ETF,,,,,,Fidelity Blue Chip Growth Fund,,Fidelity Global Innovators Investment Trust,Fidelity Select Port. - Biotechnology Portfolio,,,,,,,,Adara Smaller Companies Fund,,,,Schwab Fundamental International Small Company Index ETF,,,,,1290 VT Micro Cap Portfolio,,,RBC QUBE Low Volatility Canadian Equity Fund,,BMO Private Canadian Special Equity Portfolio,iShares Core S&P Total US Stock Market ETF,Fidelity Small Cap Stock Fund,,,,GFA International Fund,,,Manulife Dividend Income Fund,,,,,,,,,TD Health Sciences Fund,,,,,,,,IG Fiera Canadian Small Cap Fund,,North Growth Canadian Equity Fund,,,,Grandeur Peak Global Reach Fund,,,,I.B.I. MEHAKA (4D) Solactive North American Cann. USD - Hedged,CI First Asset Morningstar National Bank Quebec Index ETF,,,Fidelity Extended Market Index Fund,"Valentum, FI",Fidelity Advisor Series VII - Biotechnology Fund,Fidelity Global Innovators Investment Trust
Fidelity Nasdaq Composite Index Fund,,American Funds Insurance Series - Asset Allocation Fund,,CI Canadian Small/Mid Cap Fund,iShares S&P/TSX Small Cap Index ETF,,,,,,Franklin Biotechnology Discovery Fund,,Vanguard Developed Markets Index Fund,Fidelity Strategic Advisers US Total Stock Fund,,,,,,,,DFA International Core Equity Portfolio,,,,DFA International Small Cap Value Portfolio,,,,,Meeder Muirfield Fund,,,British Columbia Inv Management Corp.,,MDPIM Canadian Equity Pool,Vanguard Balanced Index Fund (US),Marquis Institutional Canadian Equity Portfolio,,,,First Asset JFT Strategies Fund,,,NBI Small Cap Fund,,,,,,,,,VALIC Company I - Health Sciences Fund,,,,,,,,Exemplar Growth & Income Fund,,Purpose Global Innovators Fund,,,,Lacuna SICAV - Adamant Global Healthcare,,,,I.B.I. Mehaka (4D) Solactive North American Cannabis,Vanguard Investment Series Plc - Global Small Cap Index Fund,,,Fidelity Small Cap Index Fund,Royce Smaller Companies Growth Fund,Driehaus Mutual Funds - Micro Cap Growth Fund,Fidelity Global Innovators Class
DekaLux - BioTech CF/TF,,JPMorgan Income Builder Fund,,Renaissance Global Science & Technology Fund,Fidelity Nasdaq Composite Index Fund,,,,,,Fidelity Small Cap Growth Fund,,Miller Opportunity Trust,Desjardins Quebec Balanced Fund,,,,,,,,Imperial Canadian Equity Pool,,,,Mercer Funds - Non US Core Equity Fund,,,,,Series Portfolios Trust - Weiss Alternative Balanced Risk Fund,,,Edgepoint Canadian Growth & Income Portfolio,,HSBC Canadian Small Cap Equity Pooled Fund,Fidelity Total Market Index Fund,KP International Equity Fund,,,,AI Powered International Equity ETF,,,NBI Canadian Equity Growth Fund,,,,,,,,,Invesco V.I. Health Care Fund,,,,,,,,IG Fiera Canadian Small Cap Class,,Exemplar Growth & Income Fund,,,,Fidelity Small Cap Stock K6 Fund,,,,Rize UCITS ICAV - Medical Cannabis & Life SciencesUCITS ETF,BlackRock Strategic Fds. - Americas Diversified Eq. Abs. Ret.,,,iShares Tr. - Micro Cap ETF,IA Clarington Focused Canadian Equity Class,BNY Mellon Opportunistic Small Cap Fund,Fidelity Advisor Health Care Fund
London Life Smaller Company Fund (Mackenzie),,Nuveen Credit Strategies Income Fund,,IA Clarington North American Opportunities Class,Polar Capital Funds Plc - Healthcare Discovery Fund,,,,,,Biotech Growth Trust Plc (The),,Fidelity Global Innovators Class,Fidelity Series Small Cap Opportunities Fund,,,,,,,,SEI Investments - Canadian Small Company Equity Fund,,,,Old Westbury Small & Mid Cap Strategies Fund,,,,,John Hancock VIT - Total Stock Market Index Trust,,,Invesco S&P/TSX Composite Low Volatility Index ETF,,NEI Canadian Small Cap Equity Fund,Fidelity Series Total Market Index Fund,Empire Life Emblem Growth Portfolio,,,,,,,London Life Dividend Fund (London Capital),,,,,,,,,John Hancock II - Health Sciences Fund,,,,,,,,Fidelity Balanced Income Currency Neutral Private Pool,,PACE Alternative Strategies Investments,,,,Grandeur Peak Global Contrarian Fund,,,,,UBS (CH) Inst. Fund 2 - Equities Global Small Cap Passive II,,,Schwab Small Cap Index Fund,MD Canadian Equity Fund,Fidelity Select Port. - Biotechnology Portfolio,Fidelity Advisor Series VII - Biotechnology Fund
Vanguard Balanced Index Fund (US),,American Funds Insurance Series - High Income Bond Fund,,,Horizons Cdn Insider Index ETF,,,,,,USAA Small Cap Stock Fund,,Fidelity True North Fund,Fidelity VIP - Health Care Portfolio,,,,,,,,DFA Canadian Core Equity Fund,,,,DFA Canadian Core Equity Fund,,,,,,,,DFA Canadian Small Company Series,,Desjardins Canadian Small Cap Equity Fund,1290 VT Micro Cap Portfolio,Empire Life Emblem Moderate Growth Portfolio,,,,,,,iProfile Canadian Equity Pool,,,,,,,,,John Hancock VIT - Health Sciences Trust,,,,,,,,,,Royce Micro Cap Trust,,,,,,,,,Vanguard MSCI International Small Companies Index ETF,,,Fidelity Total Market Index Fund,Acadian Global Small Cap Equity CIT Fund,CI Global Health Sciences Corporate Class,HBM Healthcare Investments
