ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
1031555,61235,2678130,46965,910064,1968242,#N/A,#N/A,#N/A,#N/A,#N/A,1892286,#N/A,12754487,1586149,#N/A,#N/A,#N/A,797281,#N/A,243100,228502,1498000,#N/A,#N/A,#N/A,1046000,#N/A,#N/A,1391522,#N/A,720000,#N/A,76900,2393000,#N/A,1488063,314754,2484700,#N/A,#N/A,#N/A,3425428,528790,#N/A,2712510,#N/A,#N/A,284,#N/A,82124,#N/A,190725,#N/A,231515,680987,#N/A,#N/A,#N/A,890602,1350323,30214,7150000,50000,865000,152840,#N/A,#N/A,1325406,#N/A,#N/A,200000,1097515,3904200,#N/A,50672,3172789,833456,2019226,1790219
580100,9500,1185286,23853,699839,1207669,,,,,,1606737,,6031282,1220976,,,,45429,,3615,13059,1308060,,,,609722,,,618646,,156304,,21983,1935000,,330300,273690,1362300,,,,2499361,,,1885592,,,164,,77400,,,,200910,469609,,,,8602,844740,,7029500,,231250,,,,681808,,,,775978,89594,,,2647186,476000,1274100,866045
369720,,1031550,3477,682971,554846,,,,,,1027283,,5007001,1200000,,,,,,,10200,507691,,,,283672,,,,,96858,,16663,1907298,,228380,100184,819126,,,,2040000,,,1450818,,,,,,,,,149316,,,,,,,,4670000,,117700,,,,239100,,,,763712,78399,,,1779131,308400,843600,713000
97861,,372617,,629391,392505,,,,,,722700,,3333986,1152479,,,,,,,4896,475000,,,,248489,,,,,30160,,6567,1882448,,188212,95675,649000,,,,864250,,,1253200,,,,,,,,,63994,,,,,,,,2532181,,99000,,,,193040,,,,572439,58328,,,1306672,262800,763659,709195
78215,,296880,,425815,209242,,,,,,630213,,3097574,720000,,,,,,,370,402880,,,,157470,,,,,19316,,6287,1735000,,176600,72089,129845,,,,50000,,,1120622,,,,,,,,,55151,,,,,,,,1239483,,63200,,,,134600,,,,244365,50935,,,1100721,113600,484389,685500
60124,,296703,,254000,82300,,,,,,538642,,2420963,464300,,,,,,,,282400,,,,132892,,,,,2806,,,1685200,,173600,65823,88800,,,,40000,,,1029457,,,,,,,,,36265,,,,,,,,568501,,32000,,,,93300,,,,71493,33544,,,903990,96578,458435,683260
42327,,216967,,248000,68817,,,,,,489900,,2208252,260000,,,,,,,,238755,,,,112600,,,,,1310,,,1159121,,81100,25343,62203,,,,24993,,,831017,,,,,,,,,33922,,,,,,,,215000,,21310,,,,50000,,,,26805,25449,,,798665,86000,295108,593262
28500,,171352,,182110,45727,,,,,,445773,,2200000,194184,,,,,,,,197300,,,,101700,,,,,321,,,1057630,,74722,18755,22700,,,,8368,,,702021,,,,,,,,,33711,,,,,,,,59899,,12000,,,,47190,,,,17800,19917,,,343085,81205,219471,479848
28500,,110097,,100000,23016,,,,,,377197,,2102080,167977,,,,,,,,165560,,,,98272,,,,,150,,,966400,,72330,7841,21418,,,,,,,686435,,,,,,,,,12582,,,,,,,,34190,,11390,,,,12654,,,,,16200,,,325308,78100,214500,415853
21345,,109934,,,10099,,,,,,185949,,1880000,140000,,,,,,,,90378,,,,72991,,,,,,,,906725,,65964,4861,16324,,,,,,,526124,,,,,,,,,8804,,,,,,,,,,8500,,,,,,,,,14272,,,271944,77136,180000,397330
