ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
RTW Investments LP,Perceptive Advisors LLC,Bybrook Capital LLP,Empery Asset Management LP,"CIBC Asset Management, Inc.",Nantahala Capital Management LLC,#N/A,#N/A,Ogorek Wealth Management LLC,"Arrow Capital Management, Inc.",AlphaNorth Asset Management,OrbiMed Advisors LLC,#N/A,Fidelity (Canada) Asset Management ULC,OrbiMed Advisors LLC,#N/A,#N/A,"Yorkville Asset Management, Inc.",Westfield Capital Management Co. LP,"CIBC Asset Management, Inc.","Taylor Asset Management, Inc. (Canada)",AdvisorShares Investments LLC,Nantahala Capital Management LLC,#N/A,#N/A,"AGF Investments, Inc.",Canada Pension Plan Investment Board,#N/A,#N/A,Eventide Asset Management LLC,#N/A,Southpoint Capital Advisors LP,#N/A,"Empire Life Investments, Inc.","QV Investors, Inc.",#N/A,HealthCor Management LP,"Rovida Advisors, Inc.","AWM Investment Co., Inc.",#N/A,#N/A,#N/A,Ruffer LLP,"Horizons ETFs Management (Canada), Inc.",#N/A,Mackenzie Financial Corp.,"Timelo Investment Management, Inc.",#N/A,Consonance Capital Management LP,#N/A,"Goodwood, Inc.",#N/A,"Timelo Investment Management, Inc.",#N/A,RTW Investments LP,"MM Asset Management, Inc.",#N/A,"Polar Asset Management Partners, Inc.",#N/A,Magnetar Financial LLC,Stonepine Capital Management LLC,Morgan Stanley & Co. LLC,Fidelity (Canada) Asset Management ULC,Boston Private Wealth LLC,Fidelity (Canada) Asset Management ULC,Claret Asset Management Corp.,#N/A,Eastern Capital Ltd.,"CI Investments, Inc.",#N/A,"Cumberland Private Wealth Management, Inc.",GF Geneva Finance SA,"Horizons ETFs Management (Canada), Inc.","Stewardship Partners Investment Counsel, Inc.",CapWealth Advisors LLC,Anson Funds Management LP,Perceptive Advisors LLC,Claret Asset Management Corp.,Avoro Capital Advisor LLC,Fidelity Management & Research Co.
"SSN Advisory, Inc.",Peconic Partners LLC,Capital Research & Management Co. (Fixed Income Investors),Morgan Stanley & Co. LLC,Canoe Financial LP,DRW Securities LLC,,,,,Fisher Asset Management LLC,Polar Capital LLP,,"Paulson & Co., Inc.",RTW Investments LP,,,,Tamarack Advisers LP,,Voya Investments LLC,"Purpose Investments, Inc.",Stadium Capital Management LLC,,,,Dimensional Fund Advisors LP,,,OrbiMed Advisors LLC,,Avoro Capital Advisor LLC,,"StoneCastle Investment Management, Inc.","EdgePoint Investment Group, Inc.",,Athyrium Capital Management LP,"The Vanguard Group, Inc.",NCM Asset Management Ltd.,,,,Fidelity (Canada) Asset Management ULC,IBI Mutual Funds Management (1978) Ltd.,,"CI Investments, Inc.",,,BBVA Asset Management SA SGIIC,,Armistice Capital LLC,,"StoneCastle Investment Management, Inc.",,VHCP Management LLC,PenderFund Capital Management Ltd.,,NCM Asset Management Ltd.,,Capital Research & Management Co. (World Investors),"EdgePoint Investment Group, Inc.",Morgan Stanley Canada Ltd.,Fiera Capital Corp. (Investment Management),J. M. Forbes & Co. LLP,Gagnon Securities LLC,"StoneCastle Investment Management, Inc.",,Janus Capital Management LLC,Fidelity Management & Research Co.,,,,Baader Bank AG (Investment Management),"Invesco Advisers, Inc.",,Masters Capital Management LLC,Menora Mivtachim Insurance Ltd.,Nantahala Capital Management LLC,Adage Capital Management LP,Great Point Partners LLC
Morgan Stanley & Co. LLC,Two Sigma Advisers LP,"JPMorgan Investment Management, Inc.",Armistice Capital LLC,"IA Clarington Investments, Inc.",Point72 Asset Management LP,,,,,,Consonance Capital Management LP,,ValueAct Capital Management LP,Fidelity Management & Research Co.,,,,Summer Road LLC,,,Foothill Capital Management LLC,"Beutel, Goodman & Co. Ltd.",,,,O'Shaughnessy Asset Management LLC,,,RA Capital Management LLC,,683 Capital Management LLC,,"Purpose Investments, Inc.",Janus Capital Management LLC,,Stadium Capital Management LLC,Millennium Management LLC,"Matco Financial, Inc.",,,,"Timelo Investment Management, Inc.",Ayalon Financial Solutions (2004) Ltd.,,Mawer Investment Management Ltd.,,,BlackRock Investment Management (UK) Ltd.,,"Timelo Investment Management, Inc.",,,,"T. Rowe Price Associates, Inc. (Investment Management)",,,,,Capital Research & Management Co. (Global Investors),Healthcare Value Capital LLC,1832 Asset Management LP,The Caisse de depot et placement du Quebec,"Arrow Capital Management, Inc.",Gagnon Advisors LLC,,,,Grandeur Peak Global Advisors LLC,,,,IBI Mutual Funds Management (1978) Ltd.,The Caisse de depot et placement du Quebec,,"Perritt Capital Management, Inc.",BlackRock Fund Advisors,Acadian Asset Management LLC,Eventide Asset Management LLC,Perceptive Advisors LLC
"BMO Asset Management, Inc.",Renaissance Technologies LLC,Capital Research & Management Co. (World Investors),JPMorgan Securities LLC (Investment Management),Picton Mahoney Asset Management,GLG Partners LP,,,,,,Goldman Sachs & Co. LLC (Private Banking),,Glenview Capital Management LLC,First Manhattan Co.,,,,Putnam Investment Management LLC,,,,Pacific Ridge Capital Partners LLC,,,,AllianceBernstein Ltd.,,,DRW Securities LLC,,Solas Capital Management LLC,,,Fidelity (Canada) Asset Management ULC,,OrbiMed Advisors LLC,Isthmus Partners LLC,"Laurus Investment Counsel, Inc.",,,,"IA Clarington Investments, Inc.",,,GLC Asset Management Group Ltd.,,,Guardians of New Zealand Superannuation,,,,,,Tavistock Life Sciences Co. (Investment Management),,,,,Two Sigma Advisers LP,JFL Capital Management LLC,Renaissance Technologies LLC,"Arrow Capital Management, Inc.",Livingston Group Asset Management Co.,"Timelo Investment Management, Inc.",,,,Manulife Investment Management Ltd.,,,,,Boston Private Wealth LLC,,Morgan Stanley Canada Ltd.,"The Vanguard Group, Inc.","AWM Investment Co., Inc.",Capital Research & Management Co. (International Investors),Farallon Capital Management LLC
Hudson Bay Capital Management LP,BMO Asset Management Corp.,Ivy Investment Management Co.,Renaissance Technologies LLC,"Arrow Capital Management, Inc.","Opaleye Management, Inc.",,,,,,"Franklin Advisers, Inc.",,"The Vanguard Group, Inc.",Polar Capital LLP,,,,Clough Capital Partners LP,,,,"Connor, Clark & Lunn Investment Management Ltd.",,,,"Purpose Investments, Inc.",,,"Commonwealth Equity Services, Inc.",,"Opaleye Management, Inc.",,,GLC Asset Management Group Ltd.,,Mawer Investment Management Ltd.,BlackRock Fund Advisors,"Hillsdale Investment Management, Inc.",,,,First Manhattan Co.,,,Fiera Capital Corp. (Investment Management),,,"Tanaka Capital Management, Inc.",,,,,,Adage Capital Management LP,,,,,Gagnon Securities LLC,Highbridge Capital Management LLC,Magnus Financial Group LLC,Fidelity Management & Research Co.,White Pine Investment Co.,"Arrow Capital Management, Inc.",,,,Lacuna Vermogen GmbH,,,,,TIAA-CREF Investment Management LLC,,Two Sigma Advisers LP,"General American Investors Co., Inc. (Investment Management)",Fidelity Management & Research Co.,Capital Research & Management Co. (World Investors),Baker Bros. Advisors LP
Jennison Associates LLC,"Arrow Capital Management, Inc.",Symphony Asset Management LLC,Sabby Capital LLC,"Goodwood, Inc.",P.A.W. Capital Partners LP,,,,,,FIAM LLC,,GoldenTree Asset Management LP,Tavistock Life Sciences Co. (Investment Management),,,,Royce & Associates LP,,,,Wellington Management Co. LLP,,,,APG Asset Management NV,,,"CIBC World Markets, Inc.",,Manchester Management Co. LLC,,,Dimensional Fund Advisors LP,,Highland Capital Management LP,Geode Capital Management LLC,"Empire Life Investments, Inc.",,,,"RBC Dominion Securities, Inc. (Investment Management)",,,"CIBC Asset Management, Inc.",,,,,,,,,Acuta Capital Partners LLC,,,,,Morgan Stanley Canada Ltd.,Goldman Sachs & Co. LLC (Private Banking),Citadel Advisors LLC,,,"Purpose Investments, Inc.",,,,,,,,,Fisher Asset Management LLC,,Citadel Advisors LLC,683 Capital Management LLC,"Hillsdale Investment Management, Inc.",Aquilo Capital Management LLC,Camber Capital Management LP
BlackRock Fund Advisors,"Monetta Financial Services, Inc.",GSO Capital Partners LP,Boothbay Fund Management LLC,,Sanders Morris Harris LLC (Investment Management),,,,,,BlackRock Fund Advisors,,"Connor, Clark & Lunn Investment Management Ltd.","AWM Investment Co., Inc.",,,,Rock Springs Capital Management LP,,,,Morgan Stanley Canada Ltd.,,,,BC Investment Management Corp.,,,"RBC Dominion Securities, Inc. (Investment Management)",,Eventide Asset Management LLC,,,"BMO Asset Management, Inc.",,"CIBC Asset Management, Inc.",Ergoteles LLC,SEI Investments Canada Co.,,,,Guardian Capital Advisors LP,,,BC Investment Management Corp.,,,,,,,,,"Invesco Advisers, Inc.",,,,,Geode Capital Management LLC,Citadel Advisors LLC,Comerica Bank (Investment Management Texas),,,,,,,,,,,,BlackRock Asset Management Canada Ltd.,,The Bank of New York Mellon Corp. (Investment Management),Medical Strategy GmbH,Raffles Capital Management LLC,Point72 Asset Management LP,Millennium Management LLC
PRIMECAP Management Co.,AlphaNorth Asset Management,Putnam Investment Management LLC,Morgan Stanley Canada Ltd.,,Marlborough Investment Management International Ltd.,,,,,,Acuta Capital Partners LLC,,Susquehanna Financial Group LLLP,Adage Capital Management LP,,,,Perceptive Advisors LLC,,,,Morgan Stanley & Co. LLC,,,,Bessemer Investment Management LLC,,,RBC Capital Markets LLC (Investment Management),,"Granahan Investment Management, Inc.",,,BC Investment Management Corp.,,PCJ Investment Counsel Ltd.,"Northern Trust Investments, Inc.(Investment Management)",1832 Asset Management LP,,,,"BMO Asset Management, Inc.",,,"RBC Global Asset Management, Inc.",,,,,,,,,Baker Bros. Advisors LP,,,,,"Merrill Lynch Canada, Inc.",David M. Knott Partnership,DWS Investment GmbH,,,,,,,,,,,,BlackRock Fund Advisors,,Sabby Capital LLC,"Cambridge Investment Research Advisors, Inc.","Wasatch Advisors, Inc.",Acuta Capital Partners LLC,"T. Rowe Price Associates, Inc. (Investment Management)"
Sphera Funds Management Ltd.,Geode Capital Management LLC,"SSgA Funds Management, Inc.",Virtu Financial BD LLC,,Sigma Planning Corp.,,,,,,HealthCor Management LP,,Renaissance Technologies LLC,Citadel Advisors LLC,,,,Renaissance Technologies LLC,,,,Canada Pension Plan Investment Board,,,,"Charles Schwab Investment Management, Inc.",,,Laurel Wealth Advisors LLC,,Putnam Investment Management LLC,,,"RBC Global Asset Management, Inc.",,"Purpose Investments, Inc.",Credit Suisse Securities (USA) LLC (Broker),Dux Inversores SGIIC SA,,,,Morgan Stanley Canada Ltd.,,,"AGF Investments, Inc.",,,,,,,,,Fidelity Management & Research Co.,,,,,UBS Securities LLC,Geode Capital Management LLC,"RBC Dominion Securities, Inc. (Investment Management)",,,,,,,,,,,,"SSgA Funds Management, Inc.",,"Commonwealth Equity Services, Inc.",Alyeska Investment Group LP,EAM Global Investors LLC,OrbiMed Advisors LLC,"Franklin Advisers, Inc."
Norges Bank Investment Management,"Oppenheimer & Co., Inc. (Wealth Management)",Principal Global Investors LLC,BlackRock Fund Advisors,,Morgan Stanley Smith Barney LLC (Invt Mgmt),,,,,,Susquehanna Financial Group LLLP,,Miller Value Partners LLC,Acuta Capital Partners LLC,,,,Stonepine Capital Management LLC,,,,Goldman Sachs & Co. LLC (Private Banking),,,,BlackRock Advisors (UK) Ltd.,,,Liechtensteinische Landesbank Osterreich AG,,OxFORD Asset Management LLP,,,"Van Berkom & Associates, Inc.",,"Triasima Portfolio Management, Inc.","Jacobs Levy Equity Management, Inc.",Fidelity Management & Research Co.,,,,Jacob Asset Management of New York LLC,,,Manulife Investment Management Ltd.,,,,,,,,,Ghost Tree Capital LLC,,,,,"BMO Asset Management, Inc.",Group One Trading LP,The Patriot Financial Group Insurance Agency LLC,,,,,,,,,,,,"Arrow Capital Management, Inc.",,BlackRock Asset Management Canada Ltd.,Harel-Pia Mutual Funds Ltd.,PCJ Investment Counsel Ltd.,Renaissance Technologies LLC,Pictet Asset Management SA
