ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
6869281,359700,9009227,1213738,2200960,6299196,#N/A,#N/A,255000,#N/A,#N/A,9763920,#N/A,32986265,5490992,#N/A,#N/A,62500000,2380663,#N/A,243100,210470,6534155,#N/A,#N/A,#N/A,1046000,#N/A,#N/A,2420565,#N/A,4077214,#N/A,76900,3756530,#N/A,5131442,1840567,14012365,#N/A,#N/A,#N/A,7453399,528790,#N/A,5430650,25000000,#N/A,3287311,#N/A,82124,#N/A,190725,#N/A,4315102,2410567,#N/A,1690000,#N/A,1008828,3909207,150700,11820000,189710,865425,3663059,#N/A,27712879,1259800,#N/A,4119065,200000,1097515,6819301,103000,2067939,55042456,2158394,2772000,3560999
4331020,245000,2875794,802385,1329230,5796482,,,,,,6909374,,25839035,5137216,,,,797281,,3615,17955,4872000,,,,891169,,,2080421,,1665999,,51500,2992630,,4351782,1738228,2484700,,,,2040000,,,2289155,,,34429,,77400,,,,1102194,1078096,,,,643500,3674185,93000,10709357,73500,767926,152840,,,728998,,,,775978,2000000,,1084140,10783599,1498100,2674338,3249574
2478119,198389,2022598,117443,354000,4022000,,,,,,4669343,,18024830,4111149,,,,363531,,,10200,4369350,,,,609722,,,2010169,,960000,,,2443704,,4050000,1292690,2011300,,,,96929,,,1991948,,,8195,,,,,,584615,,,,,476000,2541222,53976,7029500,50000,542256,,,,479654,,,,763712,831416,,293300,2861927,1445000,2025000,3158979
2045626,129246,1402253,91100,248000,3710698,,,,,,4434463,,17931594,2330893,,,,287972,,,370,2717522,,,,181078,,,1471853,,950000,,,2434235,,3153910,746316,819126,,,,88771,,,1666582,,,2452,,,,,,320377,,,,,247102,1400000,47653,215000,15000,400000,,,,193040,,,,572439,364374,,210250,2377000,1407615,1979669,2324688
1938329,118385,346562,53100,,3198927,,,,,,3538295,,13402349,1775000,,,,278400,,,,2094900,,,,157470,,,959300,,900000,,,2159868,,2674615,638146,129845,,,,87968,,,1534516,,,1480,,,,,,213310,,,,,60917,1144554,44705,41000,10000,348939,,,,50000,,,,244365,241145,,134300,2362367,924885,1662812,1750000
1774815,72188,195492,47248,,2918000,,,,,,1725000,,9542316,1600000,,,,250000,,,,2082335,,,,101700,,,198799,,834689,,,1779179,,350200,296927,89600,,,,79164,,,1305225,,,1000,,,,,,208733,,,,,39408,302,41999,34190,,293000,,,,,,,,98298,176291,,127786,2032457,911349,1587536,1708472
1113248,64125,42265,24059,,1589499,,,,,,1701929,,8644507,1597503,,,,230900,,,,1986424,,,,98272,,,21020,,720000,,,1735000,,330300,204829,62203,,,,50000,,,1120622,,,779,,,,,,191858,,,,,35510,,30000,,,256813,,,,,,,,17800,169700,,95500,1916080,902300,1499970,965151
847164,61235,37536,23853,,802378,,,,,,1615882,,5351567,1279287,,,,168272,,,,1572755,,,,35452,,,10050,,270209,,,1278598,,81100,162798,50334,,,,40315,,,995307,,,476,,,,,,67992,,,,,13960,,17400,,,231250,,,,,,,,,158891,,79042,1865039,516310,1274100,960406
800000,54889,28978,21415,,776196,,,,,,1606737,,4565437,1070000,,,,100791,,,,1553985,,,,32562,,,8500,,147108,,,1159121,,74722,132054,22700,,,,40000,,,508932,,,284,,,,,,45238,,,,,13259,,15526,,,223430,,,,,,,,,149700,,50672,1709592,415000,1055726,905006
580100,47300,22681,18069,,666607,,,,,,1438800,,4340376,775377,,,,75209,,,,1498000,,,,16047,,,2443,,129646,,,1094605,,72330,95675,15000,,,,37910,,,446510,,,273,,,,,,41592,,,,,8602,,10790,,,222547,,,,,,,,,128293,,49020,1306672,403044,963500,868600
