ABUS-US,ACST-CA,ADVZ-CA,AEZS-CA,AKU-CA,APS-CA,AQS-CA,ARCH-CA,ASG-CA,ASP-CA,ATE-CA,AUP-CA,BCT-CA,BHC-US,BLU-CA,BNKL-US,BTI-CA,CHH-CA,CORV-CA,COV-CA,CPH-CA,CRDL-CA,CRH-CA,CTTH-US,CTX-CA,CZO-CA,DR-CA,EBM-CA,EDT-CA,EPI-CA,ETBI-US,FRX-CA,GSD-CA,GTMS-CA,GUD-CA,HBP-CA,HLS-CA,HSDT-US,HTL-CA,ICO-CA,IDL-CA,IGXT-US,IMV-CA,IN-CA,IPA-CA,JWEL-CA,KLY-CA,KNE-CA,LMNL-CA,MDNA-CA,MDP-CA,MDX-CA,MIMI-CA,MIR-CA,MIST-US,MPH-CA,NGEN-CA,NRI-CA,NSHS-CA,NVCN-CA,NVLNF-US,ONCY-USA,OPS-CA,PMN-CA,PRN-CA,PTQ-CA,QPT-CA,RVX-CA,RX-CA,SBM-CA,SQD-CA,SVA-CA,TBP-CA,TH-CA,TLT-CA,TMD-CA,VBIV-US,VMD-CA,XENE-US,ZYME-US
12739194.43,3354223.23,64516516.02,1132875,7244389.17,10905246.16,#N/A,#N/A,51900.15,9653,24423.12,52568427.86,#N/A,795941426.7,48724285.44,#N/A,#N/A,7302500,10329306.98,251981.24,216235.02,513667.67,20933341.69,#N/A,#N/A,744551.6,3485094.18,#N/A,#N/A,9849305.46,#N/A,25039068.13,#N/A,223283.12,22485350.27,#N/A,71144260,804092.52,11090786.9,#N/A,#N/A,#N/A,19123004.33,159567.87,#N/A,132198563.1,753750,#N/A,18064595.77,#N/A,3639894.97,#N/A,151150.07,#N/A,65880152.82,14476807.8,#N/A,777364.17,#N/A,1402971.75,2881016.1,151214.72,7306178.4,27885.47,6260361.85,5033522.28,#N/A,29037277.49,12165175.46,#N/A,187506.89,14699,516097.46,18154802.33,18633.73,1408022.36,39720525.01,14897858.17,33480000,116609281.9
4064326.35,659582,20594020.96,570266.19,4545401.45,8076847.67,,,,,3618.24,49318759.95,,606624308.9,28975595.42,,,,9531900,,3215.51,99200.85,15982618.1,,,,3022322.98,,,7211697.02,,6928121.52,,132759,21377521.3,,53358195,287132.08,4669770.85,,,,7466750.52,40055.28,,44727044.12,,,555.02,,476482.84,,110413.8,,37080589.86,6912906,,217929.49,,964888.41,2294688.94,68953.74,6619667.75,10803.76,5499640.82,722212,,19060.35,3818926.14,,,,177175.41,11307120,,627489.89,4546629.9,9079399.84,18135000,103183901.5
3755206.12,644882.74,12088059.56,410400,1470998.32,5621880,,,,,,38131353.27,,521988701.3,25703798.62,,,,9161215,,,19840.17,14525004.57,,,,1354265.62,,,4899740,,6084668.94,,114196.5,16658121.27,,53184111.46,96047.49,1158043.65,,,,527174.07,1428.47,,39045667.82,,,450.61,,177778.91,,,,21772814.04,,,,,720853.37,1036000,53599.33,4345074.54,7349.5,1929460.11,,,,2485970.78,,,,89035.09,11036314.48,,133800,3376116.47,8927787.62,17773695,99927268.7
2306522.35,473140.78,10041758.09,78831,824423.92,4112722.09,,,,,,24619786.19,,402024062.5,17603341.58,,,,5622632.69,,,,7787806.49,,,,944407.21,,,112958.61,,5908327.42,,,15361343.09,,41500852.83,95093,837296.98,,,,354605.98,,,32848959.09,,,340.71,,,,,,18450727.56,,,,,86761.34,846969.96,42116.15,308380.07,2204.85,1161359.31,,,,989915.45,,,,,2448585.1,,73500.09,2193185.93,6304246.52,14727377.7,72428645
2049550,461707.4,2481785.93,66478.82,216743.71,1839888,,,,,,20954409.6,,272183506.9,14658364.53,,,,4357400.06,,,,6794156.3,,,,633047.7,,,56347.01,,5637717,,,14083542.04,,14060692.84,74003.62,217152.77,,,,329722.44,,,29317305.41,,,120.9,,,,,,8370000,,,,,75877.15,429971.08,27890.75,29187.63,1469.9,266500.7,,,,261571,,,,,253186.2,,49987.68,1879433.8,5553215.73,13440825,71465383.76
1752133.96,365960.59,1447743.07,61624.98,24682.85,1277700,,,,,,16759716.43,,197871615.4,12309660.5,,,,2994022.74,,,,6561950.37,,,,572388.4,,,49242.39,,4758132.92,,,13314678.87,,4272536.2,61008.95,170576.96,,,,247460.53,,,25124971.14,,,,,,,,,6185430,,,,,73563.79,153018.68,18872,,,176708.04,,,,,,,,,208002.95,,40200.48,1728800,5541821.78,13273801.65,62745000
1506405.51,188452,415948.82,52399.53,,708356.88,,,,,,13493761.41,,171496034.1,10138916.02,,,,2541840,,,,6429785.76,,,,524663.27,,,10117.96,,4510173.6,,,11679976.96,,1348688.2,29815.17,105081.91,,,,239365.64,,,21895463.45,,,,,,,,,5440500,,,,,25094.01,88474.4,17321.27,,,,,,,,,,,,201532.45,,26235.5,1723549.63,5491518.72,12903750,57715235.31
1374000,123436.06,398575.84,51813,,664398.89,,,,,,12654528,,150550661.4,9015526,,,,2118200,,,,6207793.16,,,,314588.06,,,9799.48,,2856311.73,,,6710429.66,,1297412.6,19863.23,102437.51,,,,166455.45,,,20635375.55,,,,,,,,,4464005.58,,,,,11552.23,80759.9,14814.45,,,,,,,,,,,,195796.92,,21988.69,1404790.9,4880178.93,9799875,27273829.28
1145000,115398.58,268801.3,43610.98,,583014.51,,,,,,12392058.2,,147366551.3,6356888.99,,,,1120474.84,,,,4799112.64,,,,306251.82,,,2939.84,,1311414.41,,,6566630.73,,912858.47,16121.95,79144.46,,,,157224.64,,,17693887.39,,,,,,,,,4010904,,,,,9994.43,62421.22,12891.1,,,,,,,,,,,,174384.06,,20778.6,1368865.57,2236280.24,8855627.4,26612873.45
846656.51,103948.24,162422.27,36869.31,,507193.24,,,,,,9565870.36,,131472083.8,5443990.7,,,,1078917.88,,,,4732866.94,,,,272783.59,,,2694.86,,518350.49,,,5622457.78,,512238.67,13120.8,70918.4,,,,140585,,,17032288.49,,,,,,,,,3933900,,,,,6359.56,38530.32,11937.24,,,,,,,,,,,,161126.46,,15840.85,1320876.67,2000607.36,6815970,19981521.72
